id_str,text,created_at,"('user', 'id_str')"
737290836631769089,https://t.co/h0Fu7tLJBT My #TeenChoice nominee for #SocialMediaQueen is Lady Gaga,Mon May 30 14:33:28 +0000 2016,3370942673
737290837969797120,https://t.co/O3BEgELpNX My #TeenChoice nominee for #SocialMediaQueen is Lady Gaga,Mon May 30 14:33:28 +0000 2016,3370942673
737290838967980032,https://t.co/Huo7XjARL9 My #TeenChoice nominee for #SocialMediaQueen is Lady Gaga,Mon May 30 14:33:28 +0000 2016,3370942673
737290840113041409,https://t.co/l24qEUggD2 My #TeenChoice nominee for #SocialMediaQueen is Lady Gaga,Mon May 30 14:33:29 +0000 2016,3370942673
737290855577473024,"RT @radioatalaya680: Lufthansa suspenderá vuelos a Venezuela de manera indefinida
https://t.co/CzraMGbHpE",Mon May 30 14:33:32 +0000 2016,260868141
737290867111788544,RT @itele: #AirFrance &gt; Les pilotes du syndicat majoritaire votent à 68% le principe d'une grève longue (SNPL) https://t.co/rn6sy3ftpS,Mon May 30 14:33:35 +0000 2016,238949095
737290876481855488,"RT @CNNEE: Lufthansa suspenderá vuelos a Venezuela de manera indefinida
https://t.co/50ZOqPgQum",Mon May 30 14:33:37 +0000 2016,851850822
737290886736936960,Why can @British_Airways not run flights from London to CPH on time but @Ryanair can for half the premium?,Mon May 30 14:33:40 +0000 2016,701867021143842816
737290892806107136,RT @MzKatieCassidy: Hey! @AmericanAir I left my new IPAD this evening.. Flight # AA0178 from MCO to LAX departed at 6:25pm! I was in 1A!Can…,Mon May 30 14:33:41 +0000 2016,615521875
737290896018944000,@Blogmodabebe @Ryanair que os ha pasado? Siento que hayáis acabado así vuestro viaje!,Mon May 30 14:33:42 +0000 2016,1208063364
737290901190496256,"@British_Airways, why has my flight been cancelled from Hamburg to London (4KGWP7) tomorrow evening? I haven't been given a reason. Thanks.",Mon May 30 14:33:43 +0000 2016,19837149
737290902734000128,@AmericanAir no issue with the actual policy. Issues are 1) the consistency of the policy 2) the way it was handled at BOS. #trainingoppo,Mon May 30 14:33:44 +0000 2016,1386889711
737290912053727232,@mh_vidal @British_Airways @Iberia you are beyond joke. Why are you refusing to send our suitcase to the hotel?,Mon May 30 14:33:46 +0000 2016,34902452
737290912456421376,"Lufthansa suspenderá vuelos a Venezuela de manera indefinida
 https://t.co/AN2Otcdnrn via @CNNEE",Mon May 30 14:33:46 +0000 2016,148109259
737290912506740736,"RT @NTN24ve: Venezuela debe a Lufthansa más de 100 millones de dólares, informó portavoz de la aerolínea https://t.co/DZ9nSWp9W9 https://t.…",Mon May 30 14:33:46 +0000 2016,2745573772
737290916822716416,"RT @david_bychkov: easyJet: chloe_carry Hi, I apologize for the delay and I know that is really stressful. I hope that your flight was good…",Mon May 30 14:33:47 +0000 2016,3172991259
737290917707689985,"RT @david_bychkov: easyJet: LawrenceTrist Hi Lawrence, for real time info, kindly see this: https://t.co/9d8gAlGwDQ and https://t.co/9sgKK4…",Mon May 30 14:33:47 +0000 2016,3172991259
737290925685248000,@easyJet flight to Milan from Ibiza is delayed - is there an ETA for take off yet? Thanks,Mon May 30 14:33:49 +0000 2016,70527655
737290931037032448,RT @ElFinanciero_Mx: #Empresas Venezuela debe a #Lufthansa más de 100 mdd: portavoz https://t.co/CFRGOH2c9g,Mon May 30 14:33:50 +0000 2016,394436303
737290950477787136,@British_Airways @Geecal booked &amp; pd &gt;6 times. Card went thru then refer 2 cust service. U r offering unfulfillable purchase contract,Mon May 30 14:33:55 +0000 2016,17730458
737290953241812993,"RT @NTN24ve: Venezuela debe a Lufthansa más de 100 millones de dólares, informó portavoz de la aerolínea https://t.co/DZ9nSWp9W9 https://t.…",Mon May 30 14:33:56 +0000 2016,1082522172
737290971784859648,"@sophiesavage4 Hi Sophie, You can find out more information here: https://t.co/zi4tuOPp11 BR Klaudia",Mon May 30 14:34:00 +0000 2016,38676903
737290998624047104,"#AirFrance pilots back strike, no date set. Read more: https://t.co/hsXnLdxvhd",Mon May 30 14:34:06 +0000 2016,4831767068
737291012201185280,Lufthansa confirma la suspensión temporal de su ruta Caracas-Frankfurt https://t.co/XEgT0Lcrzl https://t.co/D4wxTKdy8Z,Mon May 30 14:34:10 +0000 2016,521263632
737291020006653956,I earn @AmericanAir #AAdvantage miles to celebrate milestones like anniversaries. #MilesForMilestones #Promotion https://t.co/FURRWLvrkC,Mon May 30 14:34:12 +0000 2016,49560419
737291033642303489,Lufthansa resumes Frankfurt - Cape Town flights - Breaking Travel News https://t.co/qVd2FFYbGA,Mon May 30 14:34:15 +0000 2016,426653095
737291038100979712,"@Ryanair £80 to book in one 20kg case?  Seriously, shame on you.  Holyhead ferry from now on I think...",Mon May 30 14:34:16 +0000 2016,62594470
737291044039987200,travel Lufthansa to resume Frankfurt-Cape Town flights in December: This winter Lufthansa will resume operat... https://t.co/f82dtf9mBG,Mon May 30 14:34:17 +0000 2016,426653095
737291064181030912,"UPDATE 1-Lufthansa says owed more than $100 million by Venezuela: FRANKFURT, May 30 (Reuters) - Venezuela owes… https://t.co/I4lC2hTgJI",Mon May 30 14:34:22 +0000 2016,383867563
737291074876637184,UPDATE 1-Lufthansa says owed more than $100 million by Venezuela https://t.co/AGynQtvReW #Company #MnA,Mon May 30 14:34:25 +0000 2016,3323281607
737291082724040704,@AmericanAir @British_Airways Y'allllllllllllll have me like https://t.co/QGncCX1dE8,Mon May 30 14:34:26 +0000 2016,723919679715205120
737291088201842688,"My Uncle Mike, a pilot who died in WWII.  His youngest brother, my dad, became a @AmericanAir pilot because of him. https://t.co/iOBgNtAI6O",Mon May 30 14:34:28 +0000 2016,39692429
737291092257873921,RT @theipaper: Did you help save a man's life on a Ryanair flight to Birmingham? Someone wants to say thank you https://t.co/fOG8axgIF0,Mon May 30 14:34:29 +0000 2016,617229652
737291096196321280,@easyJet Gepäck Ansage haben die 4 mal wiederholt aber Boarding Gruppen voll vergessen...,Mon May 30 14:34:30 +0000 2016,391687588
737291101506277380,@Ryanair There's a bag booked against his name. He was travelling with another passenger and their seats were purchased at POS.,Mon May 30 14:34:31 +0000 2016,15432442
737291109752152064,Lufthansa to resume nonstop flights to Cape Town! https://t.co/oKlrQTWyyz,Mon May 30 14:34:33 +0000 2016,426653095
737291119269150720,RT @DiariodeCaracas: Lufthansa confirma la suspensión temporal de su ruta Caracas-Frankfurt https://t.co/XEgT0Lcrzl https://t.co/D4wxTKdy8Z,Mon May 30 14:34:35 +0000 2016,1458631447
